khipu_id,cluster,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000316,3,127,126,1.984251968503937,59,0.0078740157480314,3,59,3.9375,1,95,0.6771653543307087,0.952755905511811,28.55813953488372,27.171977977989457
1000317,3,58,57,1.9655172413793105,9,0.0172413793103448,2,48,5.7,1,48,0.7068965517241379,0.9827586206896552,42.609756097560975,85.00068236419949
1000318,3,23,22,1.9130434782608696,7,0.0434782608695652,3,13,2.75,1,15,0.9565217391304348,0.9565217391304348,125.77272727272728,216.8975316968784
1000319,3,24,23,1.9166666666666667,6,0.0416666666666666,3,16,2.875,1,16,0.7083333333333334,0.9583333333333334,105.70588235294116,153.72005292505034
1000320,3,78,77,1.9743589743589745,69,0.0128205128205128,4,69,9.625,1,70,0.6282051282051282,0.9743589743589745,54.734693877551024,60.44487301571475
1000321,4,1228,1227,1.998371335504886,223,0.000814332247557,3,956,9.5859375,1,1100,0.2752442996742671,0.999185667752443,8.272189349112425,14.894397360133215
1000322,3,41,40,1.951219512195122,23,0.024390243902439,2,23,4.0,1,31,0.7804878048780488,0.951219512195122,44.21875,152.95296139152552
1000323,0,219,218,1.990867579908676,72,0.0045662100456621,3,144,5.45,1,179,0.730593607305936,0.9817351598173516,570.8375,1563.6758331232693
1000324,3,66,65,1.9696969696969695,61,0.0151515151515151,2,61,13.0,1,61,0.7121212121212122,0.9848484848484848,35.1063829787234,58.1290691707844
1000325,3,45,44,1.9555555555555555,43,0.0222222222222222,2,43,22.0,1,43,0.2222222222222222,0.9777777777777776,95.0,176.83325479106017
1000326,1,9,8,1.7777777777777777,8,0.1111111111111111,1,8,8.0,1,8,0.8888888888888888,0.8888888888888888,38.375,21.609821262564854
1000327,3,56,55,1.9642857142857144,29,0.0178571428571428,3,29,2.2916666666666665,1,32,0.3392857142857143,0.9821428571428572,19.36842105263158,17.00529492251346
1000328,3,23,22,1.9130434782608696,22,0.0434782608695652,1,22,22.0,1,22,0.6521739130434783,0.9565217391304348,23.53333333333333,26.5527567097823
1000329,0,305,304,1.99344262295082,173,0.0032786885245901,3,173,4.405797101449275,1,236,0.8426229508196721,0.9868852459016394,90.3307392996109,124.7265785840773
1000330,3,39,38,1.948717948717949,38,0.0256410256410256,1,38,38.0,1,38,0.7948717948717948,0.9743589743589745,47.38709677419355,55.09328008864711
1000331,2,172,171,1.988372093023256,167,0.005813953488372,2,167,85.5,1,170,0.872093023255814,0.9767441860465116,8.566666666666666,13.144538367279733
1000332,0,161,160,1.9875776397515528,125,0.0062111801242236,2,123,6.666666666666667,1,137,0.6770186335403726,0.9937888198757764,13.247706422018348,18.17103045923674
1000333,0,180,179,1.988888888888889,108,0.0055555555555555,2,108,4.589743589743589,1,141,0.75,0.9833333333333332,29.97037037037037,43.9213001124344
1000335,3,47,46,1.9574468085106385,46,0.0212765957446808,1,46,46.0,1,46,0.5957446808510638,0.9787234042553192,144.46428571428572,237.8085187322621
1000336,2,108,107,1.9814814814814812,107,0.0092592592592592,1,107,107.0,1,107,0.8611111111111112,0.9907407407407408,57.54838709677419,105.57558736723269
1000337,3,70,69,1.9714285714285715,25,0.0142857142857142,4,34,2.76,1,45,0.6857142857142857,0.9857142857142858,390.3125,892.6739362782005
1000338,3,27,26,1.9259259259259256,26,0.037037037037037,1,26,26.0,1,26,0.8888888888888888,0.9629629629629628,94.70833333333331,247.21034888778877
