khipu_id,model,matches,total,match_rate,has_pattern,tolerance
1000000,modulo_10,0,4,0.0,False,
1000000,positional_base10,0,4,0.0,False,
1000000,standard_tolerance_2,0,4,0.0,False,2.0
1000000,standard_tolerance_5,1,4,0.25,False,5.0
1000000,cross_level_all_descendants,0,0,0.0,False,
1000000,partial_summation,0,4,0.0,False,
1000001,modulo_10,0,0,0.0,False,
1000001,positional_base10,0,0,0.0,False,
1000001,standard_tolerance_2,0,0,0.0,False,2.0
1000001,standard_tolerance_5,0,0,0.0,False,5.0
1000001,cross_level_all_descendants,0,0,0.0,False,
1000001,partial_summation,0,0,0.0,False,
1000002,modulo_10,2,6,0.3333333333333333,False,
1000002,positional_base10,0,6,0.0,False,
1000002,standard_tolerance_2,0,6,0.0,False,2.0
1000002,standard_tolerance_5,0,6,0.0,False,5.0
1000002,cross_level_all_descendants,0,0,0.0,False,
1000002,partial_summation,0,6,0.0,False,
1000003,modulo_10,0,5,0.0,False,
1000003,positional_base10,0,5,0.0,False,
1000003,standard_tolerance_2,0,5,0.0,False,2.0
1000003,standard_tolerance_5,0,5,0.0,False,5.0
1000003,cross_level_all_descendants,0,0,0.0,False,
1000003,partial_summation,0,5,0.0,False,
1000004,modulo_10,3,15,0.2,False,
1000004,positional_base10,0,15,0.0,False,
1000004,standard_tolerance_2,0,15,0.0,False,2.0
1000004,standard_tolerance_5,5,15,0.3333333333333333,False,5.0
1000004,cross_level_all_descendants,0,1,0.0,False,
1000004,partial_summation,0,15,0.0,False,
1000005,modulo_10,1,4,0.25,False,
1000005,positional_base10,0,4,0.0,False,
1000005,standard_tolerance_2,0,4,0.0,False,2.0
1000005,standard_tolerance_5,0,4,0.0,False,5.0
1000005,cross_level_all_descendants,0,0,0.0,False,
1000005,partial_summation,0,4,0.0,False,
1000006,modulo_10,0,9,0.0,False,
1000006,positional_base10,1,9,0.1111111111111111,False,
1000006,standard_tolerance_2,1,9,0.1111111111111111,False,2.0
1000006,standard_tolerance_5,8,9,0.8888888888888888,True,5.0
1000006,cross_level_all_descendants,0,0,0.0,False,
1000006,partial_summation,1,9,0.1111111111111111,False,
1000007,modulo_10,20,83,0.24096385542168675,False,
1000007,positional_base10,5,83,0.060240963855421686,False,
1000007,standard_tolerance_2,5,83,0.060240963855421686,False,2.0
1000007,standard_tolerance_5,7,83,0.08433734939759036,False,5.0
1000007,cross_level_all_descendants,1,36,0.027777777777777776,False,
1000007,partial_summation,5,83,0.060240963855421686,False,
1000008,modulo_10,0,12,0.0,False,
1000008,positional_base10,0,12,0.0,False,
1000008,standard_tolerance_2,0,12,0.0,False,2.0
1000008,standard_tolerance_5,3,12,0.25,False,5.0
1000008,cross_level_all_descendants,0,9,0.0,False,
1000008,partial_summation,0,12,0.0,False,
1000009,modulo_10,5,33,0.15151515151515152,False,
1000009,positional_base10,1,33,0.030303030303030304,False,
1000009,standard_tolerance_2,1,33,0.030303030303030304,False,2.0
1000009,standard_tolerance_5,5,33,0.15151515151515152,False,5.0
1000009,cross_level_all_descendants,0,8,0.0,False,
1000009,partial_summation,1,33,0.030303030303030304,False,
1000010,modulo_10,1,6,0.16666666666666666,False,
1000010,positional_base10,0,6,0.0,False,
1000010,standard_tolerance_2,0,6,0.0,False,2.0
1000010,standard_tolerance_5,0,6,0.0,False,5.0
1000010,cross_level_all_descendants,0,4,0.0,False,
1000010,partial_summation,0,6,0.0,False,
1000011,modulo_10,2,11,0.18181818181818182,False,
1000011,positional_base10,0,11,0.0,False,
1000011,standard_tolerance_2,1,11,0.09090909090909091,False,2.0
1000011,standard_tolerance_5,2,11,0.18181818181818182,False,5.0
1000011,cross_level_all_descendants,1,5,0.2,False,
1000011,partial_summation,1,11,0.09090909090909091,False,
1000012,modulo_10,7,32,0.21875,False,
1000012,positional_base10,1,32,0.03125,False,
1000012,standard_tolerance_2,1,32,0.03125,False,2.0
1000012,standard_tolerance_5,2,32,0.0625,False,5.0
1000012,cross_level_all_descendants,0,7,0.0,False,
1000012,partial_summation,1,32,0.03125,False,
1000013,modulo_10,0,0,0.0,False,
1000013,positional_base10,0,0,0.0,False,
1000013,standard_tolerance_2,0,0,0.0,False,2.0
1000013,standard_tolerance_5,0,0,0.0,False,5.0
1000013,cross_level_all_descendants,0,0,0.0,False,
1000013,partial_summation,0,0,0.0,False,
1000014,modulo_10,0,0,0.0,False,
1000014,positional_base10,0,0,0.0,False,
1000014,standard_tolerance_2,0,0,0.0,False,2.0
1000014,standard_tolerance_5,0,0,0.0,False,5.0
1000014,cross_level_all_descendants,0,0,0.0,False,
1000014,partial_summation,0,0,0.0,False,
1000015,modulo_10,0,0,0.0,False,
1000015,positional_base10,0,0,0.0,False,
1000015,standard_tolerance_2,0,0,0.0,False,2.0
1000015,standard_tolerance_5,0,0,0.0,False,5.0
1000015,cross_level_all_descendants,0,0,0.0,False,
1000015,partial_summation,0,0,0.0,False,
1000017,modulo_10,1,7,0.14285714285714285,False,
1000017,positional_base10,0,7,0.0,False,
1000017,standard_tolerance_2,0,7,0.0,False,2.0
1000017,standard_tolerance_5,2,7,0.2857142857142857,False,5.0
1000017,cross_level_all_descendants,0,0,0.0,False,
1000017,partial_summation,0,7,0.0,False,
1000018,modulo_10,13,106,0.12264150943396226,False,
1000018,positional_base10,7,106,0.0660377358490566,False,
1000018,standard_tolerance_2,8,106,0.07547169811320754,False,2.0
1000018,standard_tolerance_5,18,106,0.16981132075471697,False,5.0
1000018,cross_level_all_descendants,2,24,0.08333333333333333,False,
1000018,partial_summation,8,106,0.07547169811320754,False,
