khipu_id,total_cords,max_level,total_tests,total_matches,overall_match_rate,has_multi_level_summation,levels_tested,level_statistics,error
1000023,572.0,3.0,75.0,8.0,0.10666666666666667,True,2.0,"{'level_2.0': {'tests_performed': 60, 'matches': 7, 'match_rate': 0.11666666666666667, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 15, 'matches': 1, 'match_rate': 0.06666666666666667, 'avg_difference': np.float64(158.53333333333333), 'avg_confidence': np.float64(1.0)}}",
1000024,573.0,3.0,76.0,5.0,0.06578947368421052,True,3.0,"{'level_-2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(19.5), 'avg_confidence': np.float64(1.0)}, 'level_2.0': {'tests_performed': 71, 'matches': 5, 'match_rate': 0.07042253521126761, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 3, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000025,874.0,3.0,102.0,10.0,0.09803921568627451,True,3.0,"{'level_-2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_2.0': {'tests_performed': 83, 'matches': 9, 'match_rate': 0.10843373493975904, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 18, 'matches': 1, 'match_rate': 0.05555555555555555, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000026,18.0,2.0,7.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 7, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(24.142857142857142), 'avg_confidence': np.float64(1.0)}}",
1000027,20.0,2.0,3.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 3, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000028,21.0,2.0,4.0,1.0,0.25,False,1.0,"{'level_2.0': {'tests_performed': 4, 'matches': 1, 'match_rate': 0.25, 'avg_difference': np.float64(6.75), 'avg_confidence': np.float64(1.0)}}",
1000029,253.0,3.0,26.0,2.0,0.07692307692307693,True,2.0,"{'level_2.0': {'tests_performed': 25, 'matches': 2, 'match_rate': 0.08, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(30.0), 'avg_confidence': np.float64(1.0)}}",
1000030,28.0,2.0,9.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 9, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(56.77777777777778), 'avg_confidence': np.float64(1.0)}}",
1000031,14.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000032,143.0,2.0,40.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 40, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(883.4), 'avg_confidence': np.float64(0.99875)}}",
1000033,68.0,2.0,6.0,1.0,0.16666666666666666,False,1.0,"{'level_2.0': {'tests_performed': 6, 'matches': 1, 'match_rate': 0.16666666666666666, 'avg_difference': np.float64(16.5), 'avg_confidence': np.float64(1.0)}}",
1000034,100.0,2.0,30.0,3.0,0.1,True,2.0,"{'level_-2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(13.5), 'avg_confidence': np.float64(1.0)}, 'level_2.0': {'tests_performed': 28, 'matches': 3, 'match_rate': 0.10714285714285714, 'avg_difference': np.float64(26.464285714285715), 'avg_confidence': np.float64(1.0)}}",
1000035,36.0,2.0,12.0,2.0,0.16666666666666666,False,1.0,"{'level_2.0': {'tests_performed': 12, 'matches': 2, 'match_rate': 0.16666666666666666, 'avg_difference': np.float64(22.166666666666668), 'avg_confidence': np.float64(1.0)}}",
1000036,20.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000037,37.0,2.0,5.0,0.0,0.0,True,2.0,"{'level_-2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(67.0), 'avg_confidence': np.float64(1.0)}, 'level_2.0': {'tests_performed': 4, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(36.5), 'avg_confidence': np.float64(1.0)}}",
