khipu_id_1,khipu_id_2,similarity
1000001,1000632,1.0
1000001,1000653,1.0
1000031,1000652,1.0
1000036,1000116,1.0
1000036,1000123,1.0
1000072,1000252,1.0
1000078,1000440,1.0
1000078,1000480,1.0
1000084,1000226,1.0
1000086,1000420,1.0
1000086,1000485,1.0
1000106,1000122,1.0
1000106,1000441,1.0
1000112,1000205,1.0
1000112,1000348,1.0
1000112,1000354,1.0
1000112,1000626,1.0
1000112,1000660,1.0
1000116,1000123,1.0
1000122,1000441,1.0
