khipu_id,PROVENANCE,cluster,anomaly_score,is_anomaly_isolation,is_anomaly_statistical,num_outlier_flags,is_anomaly_topology,num_topology_flags,num_methods_flagged,high_confidence_anomaly
1000088,near Lima,6,-0.6044544181251691,True,False,1,True,2,2,True
1000089,Pachacamac,0,-0.42477545438733577,False,False,0,False,0,0,False
1000090,Marquez,3,-0.3624908995517517,False,False,0,False,0,0,False
1000091,Marquez,3,-0.3481328922476836,False,False,0,False,0,0,False
1000092,Pachacamac,3,-0.37167627723558827,False,False,0,False,0,0,False
1000093,Ica,3,-0.3465220462351994,False,False,0,False,0,0,False
1000094,Nazca,0,-0.4229627441788895,False,False,0,False,0,0,False
1000096,Lluta Valley,4,-0.7479590740522242,True,False,1,False,0,1,False
1000097,,3,-0.3622034253242187,False,False,0,False,0,0,False
1000098,Nazca,3,-0.35867306905588014,False,False,0,False,0,0,False
1000099,,3,-0.37187727803310416,False,False,0,True,1,1,False
1000100,,3,-0.3601803503461978,False,False,0,True,1,1,False
1000101,"""La puntilla, between Paracas and Pisco""",3,-0.3417474458448109,False,False,0,False,0,0,False
1000103,Nazca,0,-0.5722540900117087,True,False,1,False,0,1,False
1000105,,3,-0.3974715438758183,False,False,0,False,0,0,False
1000106,,3,-0.3614853844015722,False,False,0,False,0,0,False
1000107,,3,-0.36569783418817137,False,False,0,False,0,0,False
1000108,,3,-0.36076177209263505,False,False,0,True,1,1,False
1000109,,3,-0.40343131449954933,False,False,0,True,1,1,False
1000110,,3,-0.35534756191869976,False,False,0,True,1,1,False
1000111,,3,-0.38916747970676024,False,False,0,False,0,0,False
1000112,Chuquitanta,1,-0.4617927574575554,False,False,1,False,0,0,False
1000113,Ica,3,-0.3771986950189831,False,False,0,True,1,1,False
1000114,Pachacamac,3,-0.3711244925393958,False,False,0,False,0,0,False
1000115,Nazca,0,-0.4093611166958123,False,False,0,False,0,0,False
1000116,Ica,3,-0.35862185818875353,False,False,0,False,0,0,False
1000117,Ica,3,-0.35267104332844496,False,False,0,False,0,0,False
1000118,Ica,3,-0.5511757851321278,True,False,1,True,1,2,True
1000119,Pachacamac,2,-0.3860806666800879,False,False,0,True,1,1,False
1000120,Pachacamac,3,-0.369389006847342,False,False,0,False,0,0,False
1000121,Ica,3,-0.36901591185784577,False,False,0,False,0,0,False
1000122,Ocucaje,3,-0.36234845820983347,False,False,0,False,0,0,False
1000123,Ocucaje,3,-0.37791679373786075,False,False,0,False,0,0,False
1000124,Ocucaje,2,-0.48383582925288715,False,False,0,True,1,1,False
1000125,Ica,3,-0.35630670682269633,False,False,0,False,0,0,False
1000126,Pachacamac,3,-0.3549685837796128,False,False,0,False,0,0,False
1000127,Ica,3,-0.3672303081534767,False,False,0,False,0,0,False
1000128,,3,-0.349922481705748,False,False,0,False,0,0,False
1000129,near Lima,1,-0.48868207142683623,False,False,1,False,0,0,False
1000130,near Lima,1,-0.3834657625246847,False,False,0,False,0,0,False
1000131,Pachacamac,2,-0.3887832907265515,False,False,0,True,1,1,False
1000132,,3,-0.34636562975705876,False,False,0,False,0,0,False
1000133,Pachacamac,3,-0.36271319779865996,False,False,0,False,0,0,False
1000134,Ica,1,-0.3891080560056767,False,False,0,False,0,0,False
1000135,Ica,3,-0.3683718149731348,False,False,0,False,0,0,False
1000136,Ica,1,-0.4407137097974813,False,False,0,False,0,0,False
1000137,Pachacamac,3,-0.34403072573729604,False,False,0,False,0,0,False
1000138,Ica,3,-0.3480362553410063,False,False,0,False,0,0,False
1000139,Pachacamac,3,-0.34971238532055815,False,False,0,False,0,0,False
1000140,Ica,0,-0.4510400007986433,False,False,0,False,0,0,False
1000141,Pachacamac,1,-0.38425555392994676,False,False,0,False,0,0,False
1000142,,3,-0.35740833032061553,False,False,0,False,0,0,False
1000143,,3,-0.35847596121709036,False,False,0,True,1,1,False
1000144,Pachacamac,3,-0.3999767821611621,False,False,0,False,0,0,False
1000145,Ica,3,-0.3501712012029695,False,False,0,False,0,0,False
1000146,Pachacamac,3,-0.4433570291363938,False,False,0,False,0,0,False
1000147,Pachacamac,0,-0.4606822451113785,False,False,0,False,0,0,False
1000148,Nazca,0,-0.441726633475059,False,False,0,False,0,0,False
1000149,near Lima,3,-0.3675761757073548,False,False,0,False,0,0,False
1000150,near Lima,3,-0.3446523028963346,False,False,0,False,0,0,False
1000151,Ica,3,-0.3696615219935744,False,False,0,False,0,0,False
1000152,Ica,3,-0.3655594898469277,False,False,0,False,0,0,False
1000154,,1,-0.43715015527916024,False,False,0,False,0,0,False
1000155,,1,-0.6157784174498768,True,False,1,True,2,2,True
1000156,,1,-0.4115037116057069,False,False,0,True,1,1,False
1000157,,1,-0.3821028649782195,False,False,0,False,0,0,False
1000158,,3,-0.3551018752073567,False,False,0,False,0,0,False
1000159,,3,-0.3466977324283138,False,False,0,False,0,0,False
1000160,Pachacamac,1,-0.5541293612897322,True,False,1,False,0,1,False
1000161,Pachacamac,3,-0.3709782236608932,False,False,0,False,0,0,False
1000162,Pachacamac,3,-0.35158597107521866,False,False,0,False,0,0,False
1000163,,3,-0.3619421714240679,False,False,0,False,0,0,False
1000164,,3,-0.3774586733233306,False,False,0,False,0,0,False
1000165,probably Central Coast Late Period,3,-0.35694532665748796,False,False,0,False,0,0,False
1000166,,3,-0.34427824377666777,False,False,0,False,0,0,False
1000167,,3,-0.3506213410685258,False,False,0,False,0,0,False
